,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,45097.0,EQ,3504.8,3570.0,3465.05,3496.65,3565.0,3562.1,3532.19,3889.65,2599.95,378562.0,1337153985.15,32873.0
1,45096.0,EQ,3567.8,3569.15,3493.0,3538.9,3505.0,3496.65,3520.62,3889.65,2599.95,336012.0,1182969616.35,40539.0
2,45093.0,EQ,3550.0,3563.9,3490.0,3534.7,3543.5,3538.9,3523.49,3889.65,2585.05,610093.0,2149654581.05,59515.0
3,45092.0,EQ,3588.9,3608.8,3530.0,3572.05,3530.2,3534.7,3566.86,3889.65,2585.05,428887.0,1529778161.3,43499.0
4,45091.0,EQ,3615.0,3642.3,3563.15,3592.65,3582.0,3572.05,3587.47,3889.65,2585.05,456603.0,1638049907.9,27368.0
5,45090.0,EQ,3599.95,3640.75,3583.0,3590.6,3595.0,3592.65,3609.89,3889.65,2585.05,612123.0,2209697187.6,38856.0
6,45089.0,EQ,3595.0,3616.5,3556.0,3581.3,3590.0,3590.6,3587.91,3889.65,2585.05,358856.0,1287544251.45,32939.0
7,45086.0,EQ,3652.0,3667.2,3576.1,3657.4,3586.95,3581.3,3608.96,3889.65,2585.05,447350.0,1614470483.15,40717.0
8,45085.0,EQ,3727.1,3727.1,3644.4,3727.4,3666.9,3657.4,3673.76,3889.65,2585.05,511175.0,1877935743.2,40962.0
9,45084.0,EQ,3705.1,3740.0,3697.2,3705.1,3714.0,3727.4,3722.61,3889.65,2585.05,342012.0,1273178044.6,35312.0
10,45083.0,EQ,3680.1,3722.0,3680.0,3673.25,3704.1,3705.1,3703.72,3889.65,2585.05,385907.0,1429290892.4,43240.0
11,45082.0,EQ,3713.15,3717.5,3665.1,3699.4,3684.0,3673.25,3686.37,3889.65,2585.05,340655.0,1255778876.0,26788.0
12,45079.0,EQ,3720.0,3748.0,3657.0,3716.05,3711.0,3699.4,3685.7,3889.65,2585.05,987424.0,3639349929.25,69237.0
13,45078.0,EQ,3713.7,3733.0,3687.0,3671.95,3700.6,3716.05,3714.81,3889.65,2585.05,622442.0,2312255185.2,55797.0
14,45077.0,EQ,3678.35,3727.0,3656.25,3678.35,3678.3,3671.95,3683.86,3889.65,2585.05,1188672.0,4378901839.95,68961.0
15,45076.0,EQ,3711.45,3722.8,3670.4,3711.45,3676.0,3678.35,3702.12,3889.65,2585.05,598100.0,2214236785.2,31086.0
16,45075.0,EQ,3700.0,3718.2,3670.0,3690.35,3711.0,3711.45,3698.16,3889.65,2585.05,516724.0,1910930183.2,42455.0
17,45072.0,EQ,3649.0,3697.5,3610.0,3651.5,3685.1,3690.35,3660.73,3889.65,2585.05,394991.0,1445953473.6,32068.0
18,45071.0,EQ,3610.9,3682.25,3606.9,3610.9,3669.0,3651.5,3647.52,3889.65,2585.05,725887.0,2647690583.5,50510.0
19,45070.0,EQ,3600.0,3624.0,3578.9,3601.6,3609.85,3610.9,3609.8,3889.65,2585.05,374043.0,1350219650.35,47907.0
20,45069.0,EQ,3545.45,3607.7,3530.05,3545.45,3600.0,3601.6,3578.87,3889.65,2585.05,374270.0,1339465312.55,34915.0
21,45068.0,EQ,3569.95,3576.8,3527.0,3570.9,3546.0,3545.45,3544.71,3889.65,2585.05,303121.0,1074475067.1,29823.0
22,45065.0,EQ,3566.15,3579.0,3511.5,3576.15,3563.0,3570.9,3556.08,3889.65,2494.65,762689.0,2712183214.05,68289.0
23,45064.0,EQ,3636.0,3649.95,3570.45,3628.75,3573.8,3576.15,3604.97,3889.65,2494.65,1235091.0,4452471351.05,45920.0
24,45063.0,EQ,3624.0,3636.3,3584.2,3633.2,3634.0,3628.75,3612.83,3889.65,2494.65,755786.0,2730529718.95,42630.0
25,45062.0,EQ,3669.0,3685.0,3610.0,3658.5,3611.0,3633.2,3657.51,3889.65,2494.65,1035562.0,3787578619.85,50579.0
26,45061.0,EQ,3630.0,3705.0,3630.0,3626.35,3653.85,3658.5,3677.24,3889.65,2494.65,1269701.0,4669000138.45,76942.0
27,45058.0,EQ,3520.0,3647.5,3514.95,3405.3,3604.7,3626.35,3612.2,3889.65,2310.0,3665298.0,13239792444.7,240637.0
28,45057.0,EQ,3424.85,3424.85,3387.05,3416.75,3404.0,3405.3,3403.04,3889.65,2310.0,408412.0,1389844378.15,37013.0
29,45056.0,EQ,3396.6,3422.8,3354.8,3381.9,3415.0,3416.75,3388.93,3889.65,2310.0,386746.0,1310656333.75,41888.0
30,45055.0,EQ,3410.0,3410.0,3371.35,3392.9,3391.8,3381.9,3383.76,3889.65,2310.0,347387.0,1175475954.3,36263.0
31,45054.0,EQ,3371.0,3407.4,3360.1,3355.1,3390.0,3392.9,3387.9,3889.65,2310.0,322909.0,1093982709.1,31890.0
32,45051.0,EQ,3339.3,3392.05,3324.75,3339.3,3347.35,3355.1,3358.32,3889.65,2310.0,518154.0,1740127732.2,32100.0
33,45050.0,EQ,3341.0,3382.45,3321.0,3348.35,3336.0,3339.3,3342.14,3889.65,2310.0,325535.0,1087983561.8,26878.0
34,45049.0,EQ,3367.9,3367.9,3321.2,3356.15,3354.6,3348.35,3343.44,3889.65,2310.0,577763.0,1931718365.7,39801.0
35,45048.0,EQ,3326.95,3383.8,3325.0,3301.1,3343.0,3356.15,3352.72,3889.65,2310.0,838718.0,2811983596.5,53657.0
36,45044.0,EQ,3275.0,3305.0,3265.35,3263.55,3298.0,3301.1,3292.26,3889.65,2310.0,416242.0,1370374991.15,29044.0
37,45043.0,EQ,3248.3,3270.4,3236.25,3248.35,3270.0,3263.55,3258.16,3889.65,2310.0,464406.0,1513109392.9,26823.0
38,45042.0,EQ,3230.0,3280.0,3225.55,3217.95,3242.0,3248.35,3258.85,3889.65,2310.0,881684.0,2873272635.4,56591.0
39,45041.0,EQ,3175.0,3246.5,3156.15,3182.8,3230.0,3217.95,3210.77,3889.65,2310.0,574542.0,1844724714.25,51019.0
40,45040.0,EQ,3204.0,3217.45,3158.1,3200.7,3185.0,3182.8,3177.01,3889.65,2310.0,379317.0,1205094971.75,34045.0
41,45037.0,EQ,3240.0,3259.95,3194.1,3246.95,3204.35,3200.7,3218.12,3889.65,2310.0,443737.0,1428000497.6,52517.0
42,45036.0,EQ,3308.7,3308.7,3220.05,3289.6,3250.0,3246.95,3245.58,3889.65,2310.0,483671.0,1569792576.75,46596.0
43,45035.0,EQ,3263.95,3300.0,3258.1,3263.55,3288.5,3289.6,3283.93,3889.65,2310.0,646164.0,2121959490.05,45719.0
44,45034.0,EQ,3228.65,3278.0,3215.85,3229.0,3263.95,3263.55,3254.03,3889.65,2310.0,577513.0,1879243880.0,54665.0
45,45033.0,EQ,3235.0,3254.0,3206.0,3213.05,3215.7,3229.0,3227.47,3889.65,2310.0,539975.0,1742753516.95,45284.0
46,45029.0,EQ,3140.0,3231.45,3132.0,3128.35,3212.5,3213.05,3200.59,3889.65,2310.0,1337741.0,4281565434.9,81361.0
47,45028.0,EQ,3035.0,3145.0,3035.0,3054.2,3128.75,3128.35,3102.41,3889.65,2310.0,746284.0,2315278193.45,58048.0
48,45027.0,EQ,2970.45,3059.0,2970.45,2970.45,3056.2,3054.2,3031.14,3889.65,2310.0,618391.0,1874432096.25,54428.0
49,45026.0,EQ,2980.0,2987.0,2951.15,2961.7,2959.0,2970.45,2975.2,3889.65,2310.0,416883.0,1240309571.1,30805.0
